ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
100
ITEM: BOX BOUNDS pp pp pp
0 10
0 10
0 0
ITEM: ATOMS id x y z
1 1.47471 6.1907 0
2 0.650316 7.65838 0
3 5.26519 9.72258 0
4 8.99382 8.07372 0
5 9.26788 4.56252 0
6 0.420253 6.70423 0
7 4.3301 6.76704 0
8 5.10287 6.11375 0
9 2.90476 8.73535 0
10 2.67233 7.45715 0
11 2.07922 0.892059 0
12 9.8257 3.69104 0
13 8.41068 7.08257 0
14 8.61355 9.69973 0
15 8.72862 7.94335 0
16 5.30386 5.95603 0
17 1.82189 3.06369 0
18 2.93473 3.8461 0
19 0.879705 4.99448 0
20 7.84629 1.77814 0
21 5.79941 6.12755 0
22 5.56859 6.38779 0
23 6.35308 5.86112 0
24 4.77921 2.80234 0
25 0.480319 6.0666 0
26 6.47982 1.40665 0
27 1.63625 9.11939 0
28 5.99959 2.21232 0
29 9.14657 9.50851 0
30 5.31588 5.53453 0
31 9.18464 3.98339 0
32 3.40915 7.60546 0
33 4.29585 6.24669 0
34 9.32895 3.74178 0
35 0.684564 2.19912 0
36 3.14662 0.496951 0
37 1.25594 7.80437 0
38 2.16527 9.1807 0
39 3.00234 4.97242 0
40 5.47861 4.65728 0
41 2.36656 9.77067 0
42 1.74275 3.09292 0
43 8.40867 4.94075 0
44 2.46339 7.56563 0
45 9.00177 7.43331 0
46 7.21963 3.87749 0
47 5.24995 2.73067 0
48 0.827196 3.68303 0
49 4.82206 5.76143 0
50 3.96602 5.43742 0
51 5.90144 3.86724 0
52 7.62788 3.33869 0
53 7.72077 0.739542 0
54 7.54436 7.44129 0
55 8.41674 5.32386 0
56 9.38828 6.31328 0
57 3.08688 8.76507 0
58 0.338087 6.45034 0
59 7.76634 8.31724 0
60 8.25632 0.641324 0
61 7.15961 0.391638 0
62 3.41442 4.10403 0
63 6.64386 1.57632 0
64 2.88242 5.34821 0
65 7.12372 6.00127 0
66 1.43476 3.12601 0
67 1.11292 8.35925 0
68 7.62448 0.301775 0
69 0.376125 0.791664 0
70 5.82053 5.1728 0
71 5.53789 5.42609 0
72 6.76944 2.97861 0
73 5.45799 7.15927 0
74 3.63295 1.71931 0
75 5.48355 7.78508 0
76 6.35391 7.20083 0
77 7.14898 5.63634 0
78 9.96785 0.369483 0
79 4.48052 5.06058 0
80 5.43109 9.80308 0
81 5.43668 6.11923 0
82 7.10029 1.37071 0
83 9.24285 4.71144 0
84 6.59684 4.02497 0
85 6.3232 0.40548 0
86 0.975001 2.50113 0
87 9.27755 1.8522 0
88 2.51899 8.2592 0
89 5.79186 3.58376 0
90 5.98405 6.71728 0
91 9.28106 0.574082 0
92 9.78096 2.34971 0
93 1.46496 6.42535 0
94 0.301402 4.40107 0
95 3.29349 0.721783 0
96 1.97067 1.85983 0
97 6.32653 2.69251 0
98 6.45988 7.62225 0
99 5.85258 0.361691 0
100 6.44417 6.26006 0
ITEM: TIMESTEP
1
ITEM: NUMBER OF ATOMS
100
ITEM: BOX BOUNDS pp pp pp
0 10
0 10
0 0
ITEM: ATOMS id x y z
1 0.252003 6.53397 0
2 0.615928 6.55457 0
3 3.24155 5.72243 0
4 4.52868 2.65914 0
5 2.73931 3.11158 0
6 4.98826 8.47193 0
7 4.15531 6.6973 0
8 0.935713 2.03079 0
9 3.92917 9.27238 0
10 9.79961 1.91909 0
11 4.89218 7.02671 0
12 4.13499 8.43352 0
13 3.36999 2.64128 0
14 0.983904 0.158888 0
15 0.786932 2.62987 0
16 7.18416 9.32566 0
17 5.49058 6.4485 0
18 2.19565 1.07186 0
19 9.84622 8.91345 0
20 4.31234 1.9114 0
21 3.13169 6.94061 0
22 9.19997 0.191394 0
23 3.71993 9.93805 0
24 5.6981 1.30452 0
25 2.56213 5.88327 0
26 5.25969 3.4575 0
27 9.12349 7.42191 0
28 5.34411 9.74914 0
29 8.19859 0.223241 0
30 7.72562 8.20647 0
31 2.41254 6.42551 0
32 5.21954 4.98052 0
33 3.29808 6.02384 0
34 5.15786 4.02548 0
35 0.0479221 5.22021 0
36 7.92563 1.057 0
37 9.4828 3.23837 0
38 6.4117 3.37186 0
39 0.532241 6.92653 0
40 1.23295 1.31944 0
41 9.53465 7.71561 0
42 6.70106 5.06217 0
43 7.25069 7.31176 0
44 6.61594 2.15265 0
45 4.58041 6.37853 0
46 3.2872 2.23409 0
47 1.94675 4.19916 0
48 9.70988 0.976973 0
49 2.48144 4.36488 0
50 1.56552 4.96983 0
51 1.2246 1.66488 0
52 6.73995 4.36651 0
53 5.43035 7.07139 0
54 3.30637 1.84661 0
55 7.58314 6.13549 0
56 3.58004 2.14077 0
57 6.85349 9.28095 0
58 6.98643 5.5629 0
59 0.542363 8.12094 0
60 3.10919 9.40871 0
61 9.6554 9.32153 0
62 6.70607 4.79484 0
63 2.27898 6.94454 0
64 9.22094 0.484925 0
65 2.87731 7.91841 0
66 1.77823 5.62511 0
67 5.24458 9.21074 0
68 9.88569 2.87259 0
69 9.15463 8.20251 0
70 2.87099 2.68722 0
71 3.28521 2.49836 0
72 0.551651 5.5486 0
73 0.926959 4.84599 0
74 8.8548 1.70096 0
75 5.24566 1.09879 0
76 4.43168 0.364686 0
77 1.82872 1.52043 0
78 2.88603 1.26904 0
79 4.28098 4.26594 0
80 8.27777 1.19669 0
81 8.48712 0.150745 0
82 8.27292 6.17534 0
83 0.323726 6.07789 0
84 7.14499 9.93499 0
85 8.58717 0.879943 0
86 0.484106 6.60584 0
87 7.25714 2.08822 0
88 4.49541 1.22392 0
89 5.38532 7.00467 0
90 8.67322 2.37964 0
91 4.73968 1.78214 0
92 8.2551 9.44102 0
93 2.26146 4.84099 0
94 0.674036 4.00226 0
95 4.14116 9.72479 0
96 3.94735 8.6605 0
97 8.29154 1.80912 0
98 0.203056 7.77461 0
99 0.583684 1.38104 0
100 3.68266 9.47797 0
ITEM: TIMESTEP
2
ITEM: NUMBER OF ATOMS
100
ITEM: BOX BOUNDS pp pp pp
0 10
0 10
0 0
ITEM: ATOMS id x y z
1 8.70283 5.01016 0
2 5.93398 7.04172 0
3 3.58578 4.28234 0
4 8.47085 8.94662 0
5 1.0403 1.3274 0
6 0.911168 8.28338 0
7 6.03316 6.81387 0
8 7.50549 0.803653 0
9 8.95512 2.95539 0
10 5.64478 2.89187 0
11 9.75475 7.39261 0
12 8.3754 5.79469 0
13 5.96955 2.95394 0
14 3.18906 5.7823 0
15 7.26432 8.96104 0
16 9.05581 2.77007 0
17 7.98674 1.75322 0
18 5.8678 9.61333 0
19 8.81786 4.96214 0
20 6.68639 8.73424 0
21 3.77134 0.347707 0
22 5.09202 0.544749 0
23 1.0521 8.36732 0
24 5.4378 9.85557 0
25 4.05036 5.67909 0
26 6.10169 5.82572 0
27 9.70092 8.28727 0
28 5.98869 8.53687 0
29 6.57306 4.21972 0
30 8.80117 5.65001 0
31 2.39502 4.72899 0
32 9.55646 0.0558673 0
33 0.551407 4.67741 0
34 5.03596 7.53366 0
35 5.9268 8.27886 0
36 3.48217 4.48014 0
37 4.99915 8.4208 0
38 8.38132 8.34441 0
39 4.49834 7.68651 0
40 5.40691 6.37244 0
41 4.28532 7.6231 0
42 8.93002 8.27079 0
43 9.43526 7.66212 0
44 6.38213 5.53848 0
45 1.63118 1.05847 0
46 5.39672 9.22916 0
47 4.30922 4.49756 0
48 1.78218 3.65477 0
49 8.35434 4.42592 0
50 5.88566 3.17625 0
51 2.16343 0.357181 0
52 6.28262 4.85254 0
53 5.91956 4.0887 0
54 5.15208 7.72529 0
55 3.97138 1.1626 0
56 9.747 1.87243 0
57 7.91451 2.22384 0
58 3.05342 9.07017 0
59 3.00211 7.20612 0
60 7.43857 4.31801 0
61 6.70541 8.11382 0
62 0.970561 7.01081 0
63 7.75993 9.75968 0
64 2.50035 2.98994 0
65 5.87268 1.16974 0
66 8.64228 2.98203 0
67 6.58216 3.2894 0
68 8.04765 3.75565 0
69 0.984451 7.722 0
70 5.00881 6.6839 0
71 4.52622 2.89617 0
72 9.9391 6.32346 0
73 9.48058 3.76081 0
74 9.17338 7.36715 0
75 2.53591 1.52728 0
76 3.74697 8.69284 0
77 4.13421 3.4576 0
78 9.55333 5.05533 0
79 4.23522 6.68055 0
80 9.00928 6.17362 0
81 1.01115 2.22055 0
82 1.05864 2.60662 0
83 7.36917 8.21853 0
84 7.08481 2.48135 0
85 4.61633 1.24476 0
86 9.27232 6.17584 0
87 8.29672 2.11111 0
88 4.89402 1.08749 0
89 4.47488 9.72349 0
90 3.79525 3.36406 0
91 5.39476 3.94393 0
92 9.24539 2.709 0
93 6.85221 3.26623 0
94 7.94755 3.23823 0
95 2.02045 0.87429 0
96 8.06587 5.05167 0
97 4.29949 9.36928 0
98 2.46401 8.70423 0
